date,sales,units_sold,is_promotion,is_holiday_season
2022-10-06,1093.6,29,0,0
2022-10-07,1205.47,31,0,0
2022-10-08,1239.57,29,0,0
2022-10-09,1235.86,31,0,0
2022-10-10,1091.63,28,0,0
2022-10-11,1128.72,28,0,0
2022-10-12,1032.06,24,0,0
2022-10-13,1026.45,24,0,0
2022-10-14,1295.67,30,0,0
2022-10-15,1363.17,34,0,0
2022-10-16,1225.93,30,0,0
2022-10-17,1038.44,27,0,0
2022-10-18,1073.95,25,0,0
2022-10-19,1047.44,27,0,0
2022-10-20,1029.35,25,0,0
2022-10-21,1335.61,35,0,0
2022-10-22,1097.75,28,0,0
2022-10-23,1309.65,34,0,0
2022-10-24,978.24,25,0,0
2022-10-25,916.9,23,0,0
2022-10-26,1033.03,26,0,0
2022-10-27,1074.35,26,0,0
2022-10-28,1245.58,32,0,0
2022-10-29,1311.44,32,0,0
2022-10-30,1350.15,32,0,0
2022-10-31,1063.28,27,0,0
2022-11-01,1454.64,37,0,1
2022-11-02,1391.77,34,0,1
2022-11-03,1344.65,32,0,1
2022-11-04,1537.68,37,0,1
2022-11-05,1648.16,41,0,1
2022-11-06,1595.65,38,0,1
2022-11-07,1474.92,38,0,1
2022-11-08,1316.66,31,0,1
2022-11-09,1334.41,32,0,1
2022-11-10,1360.69,33,0,1
2022-11-11,1656.32,42,0,1
2022-11-12,1790.13,45,0,1
2022-11-13,1596.58,38,0,1
2022-11-14,1329.26,31,0,1
2022-11-15,1265.85,31,0,1
2022-11-16,1226.25,29,0,1
2022-11-17,1271.1,33,0,1
2022-11-18,1633.93,40,0,1
2022-11-19,1599.89,38,0,1
2022-11-20,1576.54,39,0,1
2022-11-21,1213.23,30,0,1
2022-11-22,1298.16,32,0,1
2022-11-23,1204.25,28,0,1
2022-11-24,2116.47,51,1,1
2022-11-25,2556.5,66,1,1
2022-11-26,2499.69,64,1,1
2022-11-27,2679.02,65,1,1
2022-11-28,2088.49,49,1,1
2022-11-29,1316.01,34,0,1
2022-11-30,1381.16,33,0,1
2022-12-01,1172.26,28,0,1
2022-12-02,1625.21,36,0,1
2022-12-03,1602.05,38,0,1
2022-12-04,1668.31,39,0,1
2022-12-05,1304.44,30,0,1
2022-12-06,1241.62,31,0,1
2022-12-07,1269.07,29,0,1
2022-12-08,1237.9,29,0,1
2022-12-09,1697.75,39,0,1
2022-12-10,1612.42,33,0,1
2022-12-11,1763.5,44,0,1
2022-12-12,1284.27,28,0,1
2022-12-13,1242.45,29,0,1
2022-12-14,1190.56,27,0,1
2022-12-15,1171.95,27,0,1
2022-12-16,1482.69,34,0,1
2022-12-17,1631.96,38,0,1
2022-12-18,1651.72,37,0,1
2022-12-19,1187.0,29,0,1
2022-12-20,1596.41,35,0,1
2022-12-21,1491.63,34,0,1
2022-12-22,1540.37,36,0,1
2022-12-23,2066.44,47,0,1
2022-12-24,1999.03,43,0,1
2022-12-25,1888.59,43,0,1
2022-12-26,1464.07,33,0,1
2022-12-27,1368.38,31,0,1
2022-12-28,1479.26,32,0,1
2022-12-29,1519.38,33,0,1
2022-12-30,1826.22,38,0,1
2022-12-31,3352.5,75,1,1
2023-01-01,2125.57,46,1,0
2023-01-02,952.47,21,0,0
2023-01-03,932.95,20,0,0
2023-01-04,973.46,22,0,0
2023-01-05,987.76,21,0,0
2023-01-06,1143.48,25,0,0
2023-01-07,1296.31,29,0,0
2023-01-08,1206.45,26,0,0
2023-01-09,972.13,21,0,0
2023-01-10,1006.98,22,0,0
2023-01-11,985.27,21,0,0
2023-01-12,1021.81,21,0,0
2023-01-13,1238.52,26,0,0
2023-01-14,1185.43,25,0,0
2023-01-15,1246.97,27,0,0
2023-01-16,925.34,21,0,0
2023-01-17,988.45,21,0,0
2023-01-18,983.17,21,0,0
2023-01-19,976.28,20,0,0
2023-01-20,1227.48,27,0,0
2023-01-21,1121.25,24,0,0
2023-01-22,1206.02,27,0,0
2023-01-23,998.56,22,0,0
2023-01-24,1003.87,21,0,0
2023-01-25,946.63,20,0,0
2023-01-26,1063.24,22,0,0
2023-01-27,1198.3,26,0,0
2023-01-28,1316.05,28,0,0
2023-01-29,1284.78,28,0,0
2023-01-30,975.95,21,0,0
2023-01-31,1100.5,26,0,0
2023-02-01,952.6,20,0,0
2023-02-02,1062.05,24,0,0
2023-02-03,1335.83,27,0,0
2023-02-04,1232.42,25,0,0
2023-02-05,1367.22,28,0,0
2023-02-06,1012.23,20,0,0
2023-02-07,1042.39,22,0,0
2023-02-08,1043.5,21,0,0
2023-02-09,1025.74,21,0,0
2023-02-10,1346.56,28,0,0
2023-02-11,1348.87,27,0,0
2023-02-12,1187.02,25,0,0
2023-02-13,1111.34,24,0,0
2023-02-14,959.08,20,0,0
2023-02-15,1102.95,23,0,0
2023-02-16,1110.84,24,0,0
2023-02-17,1246.13,25,0,0
2023-02-18,1294.45,27,0,0
2023-02-19,1251.93,25,0,0
2023-02-20,1051.64,22,0,0
2023-02-21,1049.58,23,0,0
2023-02-22,1110.62,23,0,0
2023-02-23,1142.16,25,0,0
2023-02-24,1437.44,29,0,0
2023-02-25,1309.59,28,0,0
2023-02-26,1337.14,26,0,0
2023-02-27,992.84,20,0,0
2023-02-28,1043.38,21,0,0
2023-03-01,1142.9,22,0,0
2023-03-02,1181.75,25,0,0
2023-03-03,1286.12,26,0,0
2023-03-04,1333.96,27,0,0
2023-03-05,1376.84,28,0,0
2023-03-06,1121.62,22,0,0
2023-03-07,1064.43,21,0,0
2023-03-08,1136.16,23,0,0
2023-03-09,1089.37,23,0,0
2023-03-10,1397.81,29,0,0
2023-03-11,1441.22,29,0,0
2023-03-12,1407.45,28,0,0
2023-03-13,1104.25,23,0,0
2023-03-14,1125.97,21,0,0
2023-03-15,1130.46,22,0,0
2023-03-16,1117.72,22,0,0
2023-03-17,1409.15,28,0,0
2023-03-18,1546.22,31,0,0
2023-03-19,1476.2,30,0,0
2023-03-20,1135.05,23,0,0
2023-03-21,1195.66,24,0,0
2023-03-22,1139.39,24,0,0
2023-03-23,1230.23,24,0,0
2023-03-24,1483.67,30,0,0
2023-03-25,1453.08,31,0,0
2023-03-26,1497.87,31,0,0
2023-03-27,1083.07,22,0,0
2023-03-28,1112.31,21,0,0
2023-03-29,1111.47,22,0,0
2023-03-30,1193.82,25,0,0
2023-03-31,1614.53,32,0,0
2023-04-01,1656.17,35,0,0
2023-04-02,1541.73,30,0,0
2023-04-03,1228.55,25,0,0
2023-04-04,1093.59,22,0,0
2023-04-05,1172.38,23,0,0
2023-04-06,1160.73,24,0,0
2023-04-07,1467.45,31,0,0
2023-04-08,1505.73,31,0,0
2023-04-09,1486.58,29,0,0
2023-04-10,1100.35,23,0,0
2023-04-11,1270.18,28,0,0
2023-04-12,1161.72,24,0,0
2023-04-13,1245.43,25,0,0
2023-04-14,1702.25,33,0,0
2023-04-15,1475.12,30,0,0
2023-04-16,1353.95,27,0,0
2023-04-17,1225.34,24,0,0
2023-04-18,1314.77,28,0,0
2023-04-19,1371.51,28,0,0
2023-04-20,1175.22,23,0,0
2023-04-21,1607.94,32,0,0
2023-04-22,1536.08,31,0,0
2023-04-23,1567.98,32,0,0
2023-04-24,1431.09,31,0,0
2023-04-25,1171.65,24,0,0
2023-04-26,1285.8,26,0,0
2023-04-27,1302.27,27,0,0
2023-04-28,1680.68,34,0,0
2023-04-29,1605.41,32,0,0
2023-04-30,1625.66,33,0,0
2023-05-01,1258.36,25,0,0
2023-05-02,2226.97,46,1,0
2023-05-03,1266.68,26,0,0
2023-05-04,1331.53,27,0,0
2023-05-05,1587.56,32,0,0
2023-05-06,1651.17,34,0,0
2023-05-07,1621.35,33,0,0
2023-05-08,1374.72,27,0,0
2023-05-09,1300.51,28,0,0
2023-05-10,1190.44,23,0,0
2023-05-11,1391.16,29,0,0
2023-05-12,1564.41,32,0,0
2023-05-13,1587.8,31,0,0
2023-05-14,1595.27,34,0,0
2023-05-15,1408.12,30,0,0
2023-05-16,1178.79,24,0,0
2023-05-17,1529.2,32,0,0
2023-05-18,1393.79,27,0,0
2023-05-19,1675.87,36,0,0
2023-05-20,1655.29,35,0,0
2023-05-21,1685.99,35,0,0
2023-05-22,1366.39,29,0,0
2023-05-23,1376.55,29,0,0
2023-05-24,1372.42,28,0,0
2023-05-25,1343.06,28,0,0
2023-05-26,1656.96,35,0,0
2023-05-27,1662.87,35,0,0
2023-05-28,1661.21,36,0,0
2023-05-29,1419.78,29,0,0
2023-05-30,1385.04,27,0,0
2023-05-31,1148.61,24,0,0
2023-06-01,1392.21,29,0,0
2023-06-02,1703.14,35,0,0
2023-06-03,1686.79,37,0,0
2023-06-04,1657.13,33,0,0
2023-06-05,1429.24,30,0,0
2023-06-06,1418.52,29,0,0
2023-06-07,1303.09,28,0,0
2023-06-08,1384.15,28,0,0
2023-06-09,1614.51,34,0,0
2023-06-10,1581.02,33,0,0
2023-06-11,1646.05,35,0,0
2023-06-12,1418.96,31,0,0
2023-06-13,1425.98,29,0,0
2023-06-14,1396.81,30,0,0
2023-06-15,1411.98,32,0,0
2023-06-16,1748.03,39,0,0
2023-06-17,1650.12,36,0,0
2023-06-18,1742.32,37,0,0
2023-06-19,1419.51,31,0,0
2023-06-20,1416.83,30,0,0
2023-06-21,1446.91,34,0,0
2023-06-22,1414.45,31,0,0
2023-06-23,1737.96,40,0,0
2023-06-24,1799.64,38,0,0
2023-06-25,1706.2,37,0,0
2023-06-26,1306.63,28,0,0
2023-06-27,1355.83,31,0,0
2023-06-28,1316.08,28,0,0
2023-06-29,1320.82,28,0,0
2023-06-30,2797.92,61,1,0
2023-07-01,1640.75,36,0,0
2023-07-02,1681.91,37,0,0
2023-07-03,1236.96,28,0,0
2023-07-04,1380.61,30,0,0
2023-07-05,1365.78,29,0,0
2023-07-06,1309.52,28,0,0
2023-07-07,1762.31,40,0,0
2023-07-08,1785.4,40,0,0
2023-07-09,1567.74,37,0,0
2023-07-10,1978.89,44,1,0
2023-07-11,2066.53,46,1,0
2023-07-12,2126.92,51,1,0
2023-07-13,1417.56,33,0,0
2023-07-14,1683.91,39,0,0
2023-07-15,1676.85,39,0,0
2023-07-16,1528.06,36,0,0
2023-07-17,1400.75,32,0,0
2023-07-18,1272.56,29,0,0
2023-07-19,1359.64,31,0,0
2023-07-20,1373.27,32,0,0
2023-07-21,1806.78,40,0,0
2023-07-22,1579.6,34,0,0
2023-07-23,2339.23,55,1,0
2023-07-24,1362.06,32,0,0
2023-07-25,1469.72,33,0,0
2023-07-26,1430.4,34,0,0
2023-07-27,1359.66,32,0,0
2023-07-28,1638.82,37,0,0
2023-07-29,1745.97,44,0,0
2023-07-30,1594.71,36,0,0
2023-07-31,1371.37,32,0,0
2023-08-01,1371.65,33,0,0
2023-08-02,1407.0,33,0,0
2023-08-03,1518.59,36,0,0
2023-08-04,1698.57,43,0,0
2023-08-05,1621.31,36,0,0
2023-08-06,1659.23,39,0,0
2023-08-07,1209.82,28,0,0
2023-08-08,1279.28,29,0,0
2023-08-09,1296.29,32,0,0
2023-08-10,1286.77,30,0,0
2023-08-11,1661.79,40,0,0
2023-08-12,1578.95,37,0,0
2023-08-13,1736.21,45,0,0
2023-08-14,1313.14,32,0,0
2023-08-15,1310.37,32,0,0
2023-08-16,1287.33,31,0,0
2023-08-17,1316.72,31,0,0
2023-08-18,1697.68,42,0,0
2023-08-19,1557.0,39,0,0
2023-08-20,1571.23,38,0,0
2023-08-21,1277.71,32,0,0
2023-08-22,1207.91,28,0,0
2023-08-23,1239.72,31,0,0
2023-08-24,1259.53,34,0,0
2023-08-25,1680.15,42,0,0
2023-08-26,1627.78,41,0,0
2023-08-27,1619.1,42,0,0
2023-08-28,1334.82,34,0,0
2023-08-29,1269.04,31,0,0
2023-08-30,1300.16,30,0,0
2023-08-31,1266.12,31,0,0
2023-09-01,1608.68,40,0,0
2023-09-02,1538.19,37,0,0
2023-09-03,1388.27,35,0,0
2023-09-04,1253.73,32,0,0
2023-09-05,1349.14,35,0,0
2023-09-06,1315.07,35,0,0
2023-09-07,1314.71,33,0,0
2023-09-08,1661.01,41,0,0
2023-09-09,1567.85,39,0,0
2023-09-10,1572.88,40,0,0
2023-09-11,1204.87,31,0,0
2023-09-12,1220.91,30,0,0
2023-09-13,1275.87,33,0,0
2023-09-14,1309.33,32,0,0
2023-09-15,1529.53,40,0,0
2023-09-16,1502.2,38,0,0
2023-09-17,1533.35,40,0,0
2023-09-18,1260.65,32,0,0
2023-09-19,1132.91,27,0,0
2023-09-20,1078.4,26,0,0
2023-09-21,1182.01,28,0,0
2023-09-22,1423.32,35,0,0
2023-09-23,1473.92,38,0,0
2023-09-24,2667.38,67,1,0
2023-09-25,1176.99,30,0,0
2023-09-26,1288.75,31,0,0
2023-09-27,1218.29,32,0,0
2023-09-28,1213.9,29,0,0
2023-09-29,2452.62,59,1,0
2023-09-30,1403.25,33,0,0
2023-10-01,1561.66,40,0,0
2023-10-02,1180.38,29,0,0
2023-10-03,1221.76,28,0,0
2023-10-04,1116.19,29,0,0
2023-10-05,1085.26,29,0,0
2023-10-06,1527.47,41,0,0
2023-10-07,1491.65,36,0,0
2023-10-08,1394.86,37,0,0
2023-10-09,1115.23,28,0,0
2023-10-10,1228.74,30,0,0
2023-10-11,1091.63,27,0,0
2023-10-12,1253.15,31,0,0
2023-10-13,1379.26,34,0,0
2023-10-14,1487.08,35,0,0
2023-10-15,1414.26,37,0,0
2023-10-16,1182.39,30,0,0
2023-10-17,1114.11,29,0,0
2023-10-18,1133.48,27,0,0
2023-10-19,1142.65,27,0,0
2023-10-20,1351.07,33,0,0
2023-10-21,1471.9,35,0,0
2023-10-22,1380.0,36,0,0
2023-10-23,1117.79,26,0,0
2023-10-24,1072.28,25,0,0
2023-10-25,981.81,24,0,0
2023-10-26,1113.08,26,0,0
2023-10-27,1571.08,41,0,0
2023-10-28,1454.09,37,0,0
2023-10-29,2300.78,58,1,0
2023-10-30,1100.38,26,0,0
2023-10-31,1114.17,29,0,0
2023-11-01,1540.66,37,0,1
2023-11-02,1408.5,33,0,1
2023-11-03,1971.77,47,0,1
2023-11-04,1931.08,47,0,1
2023-11-05,1927.96,49,0,1
2023-11-06,1518.93,38,0,1
2023-11-07,1485.29,35,0,1
2023-11-08,1531.22,36,0,1
2023-11-09,1522.75,37,0,1
2023-11-10,1813.13,45,0,1
2023-11-11,1790.09,47,0,1
2023-11-12,1849.53,47,0,1
2023-11-13,1583.8,36,0,1
2023-11-14,1376.89,35,0,1
2023-11-15,1358.22,33,0,1
2023-11-16,1475.84,34,0,1
2023-11-17,1831.96,46,0,1
2023-11-18,1840.78,44,0,1
2023-11-19,1844.93,43,0,1
2023-11-20,1440.15,35,0,1
2023-11-21,1563.09,34,0,1
2023-11-22,1336.79,34,0,1
2023-11-23,1391.41,32,0,1
2023-11-24,3141.82,75,1,1
2023-11-25,2873.09,67,1,1
2023-11-26,3118.95,73,1,1
2023-11-27,2553.8,62,1,1
2023-11-28,1446.26,34,0,1
2023-11-29,1460.25,37,0,1
2023-11-30,1351.62,31,0,1
2023-12-01,1746.34,41,0,1
2023-12-02,1766.9,41,0,1
2023-12-03,1771.0,40,0,1
2023-12-04,1531.07,35,0,1
2023-12-05,1478.23,34,0,1
2023-12-06,1357.58,33,0,1
2023-12-07,1454.58,35,0,1
2023-12-08,1840.17,41,0,1
2023-12-09,1897.21,42,0,1
2023-12-10,1936.22,45,0,1
2023-12-11,1362.39,31,0,1
2023-12-12,1376.83,33,0,1
2023-12-13,1344.63,30,0,1
2023-12-14,1417.99,32,0,1
2023-12-15,1835.28,40,0,1
2023-12-16,1882.09,45,0,1
2023-12-17,1786.92,41,0,1
2023-12-18,1412.25,32,0,1
2023-12-19,1446.39,32,0,1
2023-12-20,1630.71,37,0,1
2023-12-21,1880.14,44,0,1
2023-12-22,1957.53,43,0,1
2023-12-23,2149.19,47,0,1
2023-12-24,2346.07,55,0,1
2023-12-25,1705.87,37,0,1
2023-12-26,1690.05,37,0,1
2023-12-27,1676.8,37,0,1
2023-12-28,1693.06,38,0,1
2023-12-29,2283.83,50,0,1
2023-12-30,1902.25,44,0,1
2023-12-31,3469.61,77,1,1
2024-01-01,1551.1,37,1,0
2024-01-02,1058.09,23,0,0
2024-01-03,1050.41,25,0,0
2024-01-04,1106.19,23,0,0
2024-01-05,1237.23,28,0,0
2024-01-06,1377.31,31,0,0
2024-01-07,1484.22,33,0,0
2024-01-08,1005.99,22,0,0
2024-01-09,1091.21,23,0,0
2024-01-10,1046.57,25,0,0
2024-01-11,1106.97,23,0,0
2024-01-12,1358.09,29,0,0
2024-01-13,1315.21,30,0,0
2024-01-14,1394.05,31,0,0
2024-01-15,1188.75,24,0,0
2024-01-16,1081.71,24,0,0
2024-01-17,1133.3,25,0,0
2024-01-18,1024.93,21,0,0
2024-01-19,1306.49,28,0,0
2024-01-20,1407.01,31,0,0
2024-01-21,1479.23,31,0,0
2024-01-22,1123.31,25,0,0
2024-01-23,1088.47,22,0,0
2024-01-24,1107.89,23,0,0
2024-01-25,1040.71,22,0,0
2024-01-26,1432.47,30,0,0
2024-01-27,1454.77,29,0,0
2024-01-28,1364.65,29,0,0
2024-01-29,1093.03,24,0,0
2024-01-30,1136.67,24,0,0
2024-01-31,1099.67,22,0,0
2024-02-01,1847.41,40,1,0
2024-02-02,1559.79,33,0,0
2024-02-03,1397.36,29,0,0
2024-02-04,1392.71,29,0,0
2024-02-05,1100.35,24,0,0
2024-02-06,1182.3,24,0,0
2024-02-07,1132.28,22,0,0
2024-02-08,1108.23,23,0,0
2024-02-09,1530.14,33,0,0
2024-02-10,1541.03,34,0,0
2024-02-11,1399.21,29,0,0
2024-02-12,1048.98,21,0,0
2024-02-13,1218.36,25,0,0
2024-02-14,1123.12,23,0,0
2024-02-15,1212.06,25,0,0
2024-02-16,1317.36,28,0,0
2024-02-17,1530.58,31,0,0
